teamFifaCode,teamName,playerName,firstNames,lastName,shirtName,position,shirtNumber,club,dateOfBirth,heightCm
RSA,África do Sul,Themba Zwane,Themba,Zwane,Zwane,MID,11,Mamelodi Sundowns,1989-08-03,
RSA,África do Sul,Thapelo Maseko,Thapelo,Maseko,Maseko,FWD,12,AEL Limassol,2003-11-11,
RSA,África do Sul,Sphephelo Sithole,Sphephelo,Sithole,Sithole,MID,13,Tondela,1999-03-03,
RSA,África do Sul,Mbekezeli Mbokazi,Mbekezeli,Mbokazi,Mbokazi,DEF,14,Chicago Fire FC,2005-09-19,
RSA,África do Sul,Iqraam Rayners,Iqraam,Rayners,Rayners,FWD,15,Mamelodi Sundowns,1995-12-19,
RSA,África do Sul,Sipho Chaine,Sipho,Chaine,Chaine,GK,16,Orlando Pirates,1996-12-14,
RSA,África do Sul,Evidence Makgopa,Evidence,Makgopa,Makgopa,FWD,17,Orlando Pirates,2000-06-05,
RSA,África do Sul,Samukele Kabini,Samukele,Kabini,Kabini,DEF,18,Molde,2004-03-15,
RSA,África do Sul,Nkosinathi Sibisi,Nkosinathi,Sibisi,Sibisi,DEF,19,Orlando Pirates,1995-09-22,
RSA,África do Sul,Khuliso Mudau,Khuliso,Mudau,Mudau,DEF,20,Mamelodi Sundowns,1995-04-26,
RSA,África do Sul,Ime Okon,Ime,Okon,Okon,DEF,21,Hannover 96,2004-02-20,
RSA,África do Sul,Ricardo Goss,Ricardo,Goss,Goss,GK,22,Siwelele,1994-04-02,
RSA,África do Sul,Jayden Adams,Jayden,Adams,Adams,MID,23,Mamelodi Sundowns,2001-05-05,
RSA,África do Sul,Olwethu Makhanya,Olwethu,Makhanya,Makhanya,DEF,24,Philadelphia Union,2004-04-30,
RSA,África do Sul,Kamogelo Sebelebele,Kamogelo,Sebelebele,Sebelebele,FWD,25,Orlando Pirates,2002-07-21,
RSA,África do Sul,Bradley Cross,Bradley,Cross,Cross,DEF,26,Kaizer Chiefs,2001-01-30,
KOR,Coreia do Sul,Kim Seung-gyu,Seung-gyu,Kim,Seung-gyu,GK,1,FC Tokyo,1990-09-30,
KOR,Coreia do Sul,Lee Han-beom,Han-beom,Lee,Han-beom,DEF,2,Midtjylland,2002-06-17,
KOR,Coreia do Sul,Lee Gi-hyuk,Gi-hyuk,Lee,Gi-hyuk,MID,3,Gangwon FC,2000-07-07,
KOR,Coreia do Sul,Kim Min-jae,Min-jae,Kim,Min-jae,DEF,4,Bayern Munich,1996-11-15,
KOR,Coreia do Sul,Kim Tae-hyeon,Tae-hyeon,Kim,Tae-hyeon,DEF,5,Kashima Antlers,2000-09-17,
KOR,Coreia do Sul,Hwang In-beom,In-beom,Hwang,In-beom,MID,6,Feyenoord,1996-09-20,
KOR,Coreia do Sul,Son Heung-min,Heung-min,Son,Heung-min,FWD,7,Los Angeles FC,1992-07-08,
KOR,Coreia do Sul,Paik Seung-ho,Seung-ho,Paik,Seung-ho,MID,8,Birmingham City,1997-03-17,
KOR,Coreia do Sul,Cho Gue-sung,Gue-sung,Cho,Gue-sung,FWD,9,Midtjylland,1998-01-25,
KOR,Coreia do Sul,Lee Jae-sung,Jae-sung,Lee,Jae-sung,MID,10,Mainz 05,1992-08-10,
KOR,Coreia do Sul,Hwang Hee-chan,Hee-chan,Hwang,Hee-chan,MID,11,Wolverhampton Wanderers,1996-01-26,
KOR,Coreia do Sul,Song Bum-keun,Bum-keun,Song,Bum-keun,GK,12,Jeonbuk Hyundai Motors,1997-10-15,
KOR,Coreia do Sul,Lee Tae-seok,Tae-seok,Lee,Tae-seok,DEF,13,Austria Wien,2002-07-28,
KOR,Coreia do Sul,Cho Wi-je,Wi-je,Cho,Wi-je,DEF,14,Jeonbuk Hyundai Motors,2001-08-25,
KOR,Coreia do Sul,Kim Moon-hwan,Moon-hwan,Kim,Moon-hwan,DEF,15,Daejeon Hana Citizen,1995-08-01,
KOR,Coreia do Sul,Park Jin-seob,Jin-seob,Park,Jin-seob,DEF,16,Zhejiang,1995-10-23,
KOR,Coreia do Sul,Bae Jun-ho,Jun-ho,Bae,Jun-ho,MID,17,Stoke City,2003-08-21,
KOR,Coreia do Sul,Oh Hyeon-gyu,Hyeon-gyu,Oh,Hyeon-gyu,FWD,18,Beşiktaş,2001-04-12,
KOR,Coreia do Sul,Lee Kang-in,Kang-in,Lee,Kang-in,MID,19,Paris Saint-Germain,2001-02-19,
KOR,Coreia do Sul,Yang Hyun-jun,Hyun-jun,Yang,Hyun-jun,MID,20,Celtic,2002-05-25,
KOR,Coreia do Sul,Jo Hyeon-woo,Hyeon-woo,Jo,Hyeon-woo,GK,21,Ulsan HD,1991-09-25,
KOR,Coreia do Sul,Seol Young-woo,Young-woo,Seol,Young-woo,DEF,22,Red Star Belgrade,1998-12-05,
KOR,Coreia do Sul,Jens Castrop,Jens,Castrop,Castrop,DEF,23,Borussia Mönchengladbach,2003-07-29,
KOR,Coreia do Sul,Kim Jin-gyu,Jin-gyu,Kim,Jin-gyu,MID,24,Jeonbuk Hyundai Motors,1997-02-24,
KOR,Coreia do Sul,Eom Ji-sung,Ji-sung,Eom,Ji-sung,MID,25,Swansea City,2002-05-09,
KOR,Coreia do Sul,Lee Dong-gyeong,Dong-gyeong,Lee,Dong-gyeong,MID,26,Ulsan HD,1997-09-20,
BIH,Bósnia e Herzegovina,Nikola Vasilj,Nikola,Vasilj,Vasilj,GK,1,FC St. Pauli,1995-12-02,
BIH,Bósnia e Herzegovina,Nihad Mujakić,Nihad,Mujakic,Mujakić,DEF,2,Gaziantep,1998-04-15,
BIH,Bósnia e Herzegovina,Dennis Hadžikadunić,Dennis,Hadzikadunic,Hadžikadunić,DEF,3,Sampdoria,1998-07-09,
BIH,Bósnia e Herzegovina,Tarik Muharemović,Tarik,Muharemovic,Muharemović,DEF,4,Sassuolo,2003-02-28,
BIH,Bósnia e Herzegovina,Sead Kolašinac,Sead,Kolasinac,Kolašinac,DEF,5,Atalanta,1993-06-20,
BIH,Bósnia e Herzegovina,Benjamin Tahirović,Benjamin,Tahirovic,Tahirović,MID,6,Brøndby,2003-03-03,
BIH,Bósnia e Herzegovina,Amar Dedić,Amar,Dedic,Dedić,DEF,7,Benfica,2002-08-18,
BIH,Bósnia e Herzegovina,Armin Gigović,Armin,Gigovic,Gigović,MID,8,Young Boys,2002-04-06,
BIH,Bósnia e Herzegovina,Samed Baždar,Samed,Bazdar,Baždar,FWD,9,Jagiellonia Białystok,2004-01-31,
BIH,Bósnia e Herzegovina,Ermedin Demirović,Ermedin,Demirovic,Demirović,FWD,10,VfB Stuttgart,1998-03-25,
BIH,Bósnia e Herzegovina,Edin Džeko,Edin,Dzeko,Džeko,FWD,11,Schalke 04,1986-03-17,
BIH,Bósnia e Herzegovina,Mladen Jurkas,Mladen,Jurkas,Jurkas,GK,12,Borac Banja Luka,2007-10-07,
BIH,Bósnia e Herzegovina,Ivan Bašić,Ivan,Basic,Bašić,MID,13,Astana,2002-04-30,
BIH,Bósnia e Herzegovina,Ivan Šunjić,Ivan,Sunjic,Šunjić,MID,14,Pafos,1996-10-09,
BIH,Bósnia e Herzegovina,Amar Memić,Amar,Memic,Memić,MID,15,Viktoria Plzeň,2001-01-20,
BIH,Bósnia e Herzegovina,Amir Hadžiahmetović,Amir,Hadziahmetovic,Hadžiahmetović,MID,16,Hull City,1997-03-08,
BIH,Bósnia e Herzegovina,Dženis Burnić,Dzenis,Burnic,Burnić,MID,17,Karlsruher SC,1998-05-22,
BIH,Bósnia e Herzegovina,Nikola Katić,Nikola,Katic,Katić,DEF,18,Schalke 04,1996-10-10,
BIH,Bósnia e Herzegovina,Kerim Alajbegović,Kerim,Alajbegovic,Alajbegović,FWD,19,Red Bull Salzburg,2007-09-21,
BIH,Bósnia e Herzegovina,Esmir Bajraktarević,Esmir,Bajraktarevic,Bajraktarević,FWD,20,PSV Eindhoven,2005-03-10,
BIH,Bósnia e Herzegovina,Stjepan Radeljić,Stjepan,Radeljic,Radeljić,DEF,21,Rijeka,1997-09-05,
BIH,Bósnia e Herzegovina,Martin Zlomislić,Martin,Zlomislic,Zlomislić,GK,22,Rijeka,1998-08-16,
BIH,Bósnia e Herzegovina,Haris Tabaković,Haris,Tabakovic,Tabaković,FWD,23,Borussia Mönchengladbach,1994-06-20,
BIH,Bósnia e Herzegovina,Arjan Malić,Arjan,Malic,Malić,DEF,24,Sturm Graz,2005-08-28,
BIH,Bósnia e Herzegovina,Jovo Lukić,Jovo,Lukic,Lukić,FWD,25,Universitatea Cluj,1998-11-28,
BIH,Bósnia e Herzegovina,Ermin Mahmić,Ermin,Mahmic,Mahmić,MID,26,Slovan Liberec,2005-03-14,
CAN,Canadá,Dayne St. Clair,Dayne,St Clair,Clair,GK,1,Inter Miami CF,1997-05-09,
CAN,Canadá,Alistair Johnston,Alistair,Johnston,Johnston,DEF,2,Celtic,1998-10-08,
CAN,Canadá,Alfie Jones,Alfie,Jones,Jones,DEF,3,Middlesbrough,1997-10-07,
CAN,Canadá,Luc de Fougerolles,Luc de,Fougerolles,Fougerolles,DEF,4,Dender EH,2005-10-12,
CAN,Canadá,Joel Waterman,Joel,Waterman,Waterman,DEF,5,Chicago Fire FC,1996-01-24,
CAN,Canadá,Mathieu Choinière,Mathieu,Choiniere,Choinière,MID,6,Los Angeles FC,1999-02-07,
CAN,Canadá,Stephen Eustáquio,Stephen,Eustaquio,Eustáquio,MID,7,Los Angeles FC,1996-12-21,
CAN,Canadá,Ismaël Koné,Ismael,Kone,Koné,MID,8,Sassuolo,2002-06-16,
CAN,Canadá,Cyle Larin,Cyle,Larin,Larin,FWD,9,Southampton,1995-04-17,
CAN,Canadá,Jonathan David,Jonathan,David,David,FWD,10,Juventus,2000-01-14,
CAN,Canadá,Liam Millar,Liam,Millar,Millar,MID,11,Hull City,1999-09-27,
CAN,Canadá,Tani Oluwaseyi,Tani,Oluwaseyi,Oluwaseyi,FWD,12,Villarreal,2000-05-15,
CAN,Canadá,Derek Cornelius,Derek,Cornelius,Cornelius,DEF,13,Rangers,1997-11-25,
CAN,Canadá,Jacob Shaffelburg,Jacob,Shaffelburg,Shaffelburg,MID,14,Los Angeles FC,1999-11-26,
CAN,Canadá,Moïse Bombito,Moise,Bombito,Bombito,DEF,15,Nice,2000-03-30,
CAN,Canadá,Maxime Crépeau,Maxime,Crepeau,Crépeau,GK,16,Orlando City SC,1994-05-11,
CAN,Canadá,Tajon Buchanan,Tajon,Buchanan,Buchanan,FWD,17,Villarreal,1999-02-08,
CAN,Canadá,Owen Goodman,Owen,Goodman,Goodman,GK,18,Barnsley,2003-11-27,
CAN,Canadá,Alphonso Davies,Alphonso,Davies,Davies,DEF,19,Bayern Munich,2000-11-02,
CAN,Canadá,Ali Ahmed,Ali,Ahmed,Ahmed,FWD,20,Norwich City,2000-10-10,
CAN,Canadá,Jonathan Osorio,Jonathan,Osorio,Osorio,MID,21,Toronto FC,1992-06-12,
CAN,Canadá,Richie Laryea,Richie,Laryea,Laryea,DEF,22,Toronto FC,1995-01-07,
CAN,Canadá,Niko Sigur,Niko,Sigur,Sigur,DEF,23,Hajduk Split,2003-09-09,
CAN,Canadá,Promise David,Promise,David,David,FWD,24,Union Saint-Gilloise,2001-07-03,
CAN,Canadá,Nathan Saliba,Nathan,Saliba,Saliba,MID,25,Anderlecht,2004-02-07,
CAN,Canadá,Jayden Nelson,Jayden,Nelson,Nelson,FWD,26,Austin FC,2002-09-26,
QAT,Catar,Mahmud Abunada,Mahmud,Abunada,Abunada,GK,1,Al-Rayyan,2000-02-05,
QAT,Catar,Pedro Miguel,Pedro,Miguel,Miguel,DEF,2,Al-Sadd,1990-08-06,
QAT,Catar,Lucas Mendes,Lucas,Mendes,Mendes,DEF,3,Al-Wakrah,1990-07-03,
QAT,Catar,Issa Laye,Issa,Laye,Laye,DEF,4,Al-Arabi,1997-12-22,
QAT,Catar,Jassem Gaber,Jassem,Gaber,Gaber,DEF,5,Al-Rayyan,2002-02-20,
QAT,Catar,Abdulaziz Hatem,Abdulaziz,Hatem,Hatem,MID,6,Al-Rayyan,1990-01-01,
QAT,Catar,Ahmed Alaaeldin,Ahmed,Alaaeldin,Alaaeldin,FWD,7,Al-Rayyan,1993-01-31,
QAT,Catar,Edmilson Junior,Edmilson,Junior,Junior,FWD,8,Al-Duhail,1994-08-19,
QAT,Catar,Mohammed Muntari,Mohammed,Muntari,Muntari,FWD,9,Al-Gharafa,1993-12-20,
QAT,Catar,Hassan Al-Haydos,Hassan,Haydos,Al-Haydos,FWD,10,Al-Sadd,1990-12-11,
QAT,Catar,Akram Afif,Akram,Afif,Afif,FWD,11,Al-Sadd,1996-11-18,
QAT,Catar,Karim Boudiaf,Karim,Boudiaf,Boudiaf,MID,12,Al-Duhail,1990-09-16,
QAT,Catar,Ayoub Al-Oui,Ayoub,Oui,Al-Oui,DEF,13,Al-Gharafa,2005-03-11,
QAT,Catar,Homam Ahmed,Homam,Ahmed,Ahmed,DEF,14,Cultural Leonesa,1999-08-25,
QAT,Catar,Yusuf Abdurisag,Yusuf,Abdurisag,Abdurisag,FWD,15,Al-Wakrah,1999-08-06,
QAT,Catar,Boualem Khoukhi,Boualem,Khoukhi,Khoukhi,DEF,16,Al-Sadd,1990-07-09,
QAT,Catar,Ahmed Al-Ganehi,Ahmed,Ganehi,Al-Ganehi,MID,17,Al-Gharafa,2000-09-22,
QAT,Catar,Sultan Al-Brake,Sultan,Brake,Al-Brake,DEF,18,Al-Duhail,1996-04-07,
QAT,Catar,Almoez Ali,Almoez,Ali,Ali,FWD,19,Al-Duhail,1996-08-19,
QAT,Catar,Ahmed Fathy,Ahmed,Fathy,Fathy,MID,20,Al-Arabi,1993-01-25,
QAT,Catar,Salah Zakaria,Salah,Zakaria,Zakaria,GK,21,Al-Duhail,1999-04-24,
QAT,Catar,Meshaal Barsham,Meshaal,Barsham,Barsham,GK,22,Al-Sadd,1998-02-14,
QAT,Catar,Assim Madibo,Assim,Madibo,Madibo,MID,23,Al-Wakrah,1996-10-22,
QAT,Catar,Tahsin Jamshid,Tahsin,Jamshid,Jamshid,FWD,24,Al-Duhail,2006-06-16,
QAT,Catar,Al-Hashmi Al-Hussain,Al-Hashmi,Hussain,Al-Hussain,DEF,25,Al-Arabi,2003-08-15,
QAT,Catar,Mohamed Manai,Mohamed,Manai,Manai,FWD,26,Al-Shamal,2002-10-25,
SUI,Suíça,Gregor Kobel,Gregor,Kobel,Kobel,GK,1,Borussia Dortmund,1997-12-06,
SUI,Suíça,Miro Muheim,Miro,Muheim,Muheim,DEF,2,Hamburger SV,1998-03-24,
SUI,Suíça,Silvan Widmer,Silvan,Widmer,Widmer,DEF,3,Mainz 05,1993-03-05,
SUI,Suíça,Nico Elvedi,Nico,Elvedi,Elvedi,DEF,4,Borussia Mönchengladbach,1996-09-30,
SUI,Suíça,Manuel Akanji,Manuel,Akanji,Akanji,DEF,5,Inter Milan,1995-07-19,
SUI,Suíça,Denis Zakaria,Denis,Zakaria,Zakaria,MID,6,Monaco,1996-11-20,
SUI,Suíça,Breel Embolo,Breel,Embolo,Embolo,FWD,7,Rennes,1997-02-14,
SUI,Suíça,Remo Freuler,Remo,Freuler,Freuler,MID,8,Bologna,1992-04-15,
SUI,Suíça,Johan Manzambi,Johan,Manzambi,Manzambi,MID,9,SC Freiburg,2005-10-14,
SUI,Suíça,Granit Xhaka,Granit,Xhaka,Xhaka,MID,10,Sunderland,1992-09-27,
SUI,Suíça,Dan Ndoye,Dan,Ndoye,Ndoye,FWD,11,Nottingham Forest,2000-10-25,
SUI,Suíça,Yvon Mvogo,Yvon,Mvogo,Mvogo,GK,12,Lorient,1994-06-06,
SUI,Suíça,Ricardo Rodriguez,Ricardo,Rodriguez,Rodriguez,DEF,13,Real Betis,1992-08-25,
SUI,Suíça,Ardon Jashari,Ardon,Jashari,Jashari,MID,14,Milan,2002-07-30,
SUI,Suíça,Djibril Sow,Djibril,Sow,Sow,MID,15,Sevilla,1997-02-06,
SUI,Suíça,Christian Fassnacht,Christian,Fassnacht,Fassnacht,FWD,16,Young Boys,1993-11-11,
SUI,Suíça,Rubén Vargas,Ruben,Vargas,Vargas,FWD,17,Sevilla,1998-08-05,
SUI,Suíça,Eray Cömert,Eray,Comert,Cömert,DEF,18,Valencia,1998-02-04,
SUI,Suíça,Noah Okafor,Noah,Okafor,Okafor,FWD,19,Leeds United,2000-05-24,
SUI,Suíça,Michel Aebischer,Michel,Aebischer,Aebischer,MID,20,Pisa,1997-01-06,
SUI,Suíça,Marvin Keller,Marvin,Keller,Keller,GK,21,Young Boys,2002-07-03,
SUI,Suíça,Fabian Rieder,Fabian,Rieder,Rieder,MID,22,FC Augsburg,2002-02-16,
SUI,Suíça,Zeki Amdouni,Zeki,Amdouni,Amdouni,FWD,23,Burnley,2000-12-04,
SUI,Suíça,Aurèle Amenda,Aurele,Amenda,Amenda,DEF,24,Eintracht Frankfurt,2003-07-31,
SUI,Suíça,Luca Jaquez,Luca,Jaquez,Jaquez,DEF,25,VfB Stuttgart,2003-06-02,
SUI,Suíça,Cedric Itten,Cedric,Itten,Itten,FWD,26,Fortuna Düsseldorf,1996-12-27,
BRA,Brasil,Alisson,,Alisson,Alisson,GK,1,Liverpool,1992-10-02,
BRA,Brasil,Éderson Silva,Ederson,Silva,Silva,MID,2,Atalanta,1999-07-07,
BRA,Brasil,Gabriel Magalhães,Gabriel,Magalhaes,Magalhães,DEF,3,Arsenal,1997-12-19,
BRA,Brasil,Marquinhos,,Marquinhos,Marquinhos,DEF,4,Paris Saint-Germain,1994-05-14,
BRA,Brasil,Casemiro,,Casemiro,Casemiro,MID,5,Manchester United,1992-02-23,
BRA,Brasil,Alex Sandro,Alex,Sandro,Sandro,DEF,6,Flamengo,1991-01-26,
BRA,Brasil,Vinícius Júnior,Vinícius,Júnior,Vini Jr,FWD,7,Real Madrid,2000-07-12,
BRA,Brasil,Bruno Guimarães,Bruno,Guimaraes,Guimarães,MID,8,Newcastle United,1997-11-16,
BRA,Brasil,Matheus Cunha,Matheus,Cunha,Cunha,FWD,9,Manchester United,1999-05-27,
BRA,Brasil,Neymar,,Neymar,Neymar,FWD,10,Santos,1992-02-05,
BRA,Brasil,Raphinha,,Raphinha,Raphinha,FWD,11,Barcelona,1996-12-14,
BRA,Brasil,Weverton,,Weverton,Weverton,GK,12,Grêmio,1987-12-13,
BRA,Brasil,Danilo Luiz,Danilo,Luiz,Luiz,DEF,13,Flamengo,1991-07-15,
BRA,Brasil,Bremer,,Bremer,Bremer,DEF,14,Juventus,1997-03-18,
BRA,Brasil,Léo Pereira,Leo,Pereira,Pereira,DEF,15,Flamengo,1996-01-31,
BRA,Brasil,Douglas Santos,Douglas,Santos,Santos,DEF,16,Zenit Saint Petersburg,1994-03-22,
BRA,Brasil,Fabinho,,Fabinho,Fabinho,MID,17,Al-Ittihad,1993-10-23,
BRA,Brasil,Danilo Santos,Danilo,Santos,Santos,MID,18,Botafogo,2001-04-29,
BRA,Brasil,Endrick,,Endrick,Endrick,FWD,19,Lyon,2006-07-21,
BRA,Brasil,Lucas Paquetá,Lucas,Paqueta,Paquetá,MID,20,Flamengo,1997-08-27,
BRA,Brasil,Luiz Henrique,Luiz,Henrique,Henrique,FWD,21,Zenit Saint Petersburg,2001-01-02,
BRA,Brasil,Gabriel Martinelli,Gabriel,Martinelli,Martinelli,FWD,22,Arsenal,2001-06-18,
BRA,Brasil,Ederson Moraes,Ederson,Moraes,Moraes,GK,23,Fenerbahçe,1993-08-17,
BRA,Brasil,Roger Ibañez,Roger,Ibanez,Ibañez,DEF,24,Al-Ahli,1998-11-23,
BRA,Brasil,Igor Thiago,Igor,Thiago,Thiago,FWD,25,Brentford,2001-06-26,
BRA,Brasil,Rayan,,Rayan,Rayan,FWD,26,Bournemouth,2006-08-03,
HAI,Haiti,Johny Placide,Johny,Placide,Placide,GK,1,Bastia,1988-01-29,
HAI,Haiti,Carlens Arcus,Carlens,Arcus,Arcus,DEF,2,Angers,1996-06-28,
HAI,Haiti,Keeto Thermoncy,Keeto,Thermoncy,Thermoncy,DEF,3,Young Boys,2006-03-29,
HAI,Haiti,Ricardo Adé,Ricardo,Ade,Adé,DEF,4,LDU Quito,1990-05-21,
HAI,Haiti,Hannes Delcroix,Hannes,Delcroix,Delcroix,DEF,5,Lugano,1999-02-28,
HAI,Haiti,Carl Sainté,Carl,Sainte,Sainté,MID,6,El Paso Locomotive FC,2002-08-09,
HAI,Haiti,Derrick Etienne Jr.,Derrick Jr,Etienne,Jr.,FWD,7,Toronto FC,1996-11-25,
HAI,Haiti,Martin Expérience,Martin,Experience,Expérience,DEF,8,Nancy,1999-03-09,
HAI,Haiti,Duckens Nazon,Duckens,Nazon,Nazon,FWD,9,Esteghlal,1994-04-07,
HAI,Haiti,Jean-Ricner Bellegarde,Jean-Ricner,Bellegarde,Bellegarde,MID,10,Wolverhampton Wanderers,1998-06-27,
